umur,gender,rata2_tidur_hari,rata2_belajar_hari,rata2_bermain_game_hari,rata2_buka_sosmed_hari,jumlah_kopi_hari,jumlah_matcha_hari,jumlah_ukm,jarak_kampus_km,asal_sekolah,rata2_olahraga_hari,memiliki_laptop,bekerja,ipk,ipk_group
20,female,6.4,3.9,4.1,2.8,1,2,2,2.4,SMA,1.7,1,0,3.37,baik
18,male,5.9,6.1,1.0,1.1,2,2,2,4.3,SMA,0.6,1,0,4.0,sangat baik
20,female,5.9,4.9,4.9,2.4,0,2,2,5.1,SMK,0.1,1,1,3.09,baik
18,female,4.7,4.2,3.7,2.8,2,2,1,10.4,SMA,0.4,1,0,3.25,baik
19,female,5.6,3.9,4.9,3.3,1,1,1,23.2,SMA,1.5,1,0,3.06,baik
18,male,5.2,4.4,4.3,2.1,0,0,0,20.3,SMK,0.1,1,0,3.11,baik
20,male,6.4,6.5,3.9,3.3,0,1,2,16.6,SMA,1.8,1,0,3.86,sangat baik
19,male,5.5,6.6,3.6,3.7,0,2,0,24.3,SMK,1.7,1,0,3.6,sangat baik
19,female,5.5,5.6,2.7,1.1,0,2,2,22.5,SMA,1.0,1,0,4.0,sangat baik
20,male,6.3,4.1,1.3,1.9,1,1,1,20.4,SMK,1.3,1,1,3.71,sangat baik
19,female,5.5,4.6,1.5,2.1,1,0,0,6.5,SMK,0.9,1,1,3.82,sangat baik
18,female,5.5,6.5,2.1,1.7,2,1,0,10.7,SMK,0.1,1,0,4.0,sangat baik
20,male,5.5,4.5,2.1,1.1,0,1,1,10.9,SMA,0.1,1,0,3.73,sangat baik
19,male,7.0,4.2,3.7,3.3,2,0,2,20.3,SMK,0.9,1,0,3.62,sangat baik
20,female,4.3,7.2,2.3,1.6,0,2,2,6.3,SMK,1.4,1,0,4.0,sangat baik
18,male,6.0,6.7,1.8,2.6,1,2,2,16.8,SMA,1.6,1,0,4.0,sangat baik
19,female,7.0,7.8,3.2,3.6,2,0,0,9.4,SMK,1.5,1,1,4.0,sangat baik
20,male,6.8,6.9,3.7,2.7,1,0,2,24.4,SMA,0.6,1,0,4.0,sangat baik
20,male,6.0,4.1,3.8,1.7,0,2,2,16.8,SMK,1.1,0,0,3.25,baik
19,male,6.9,5.4,4.6,2.3,0,1,0,14.8,SMK,1.0,1,0,3.64,sangat baik
20,male,5.7,6.8,1.2,4.0,1,0,1,23.0,SMA,0.7,0,1,3.72,sangat baik
20,male,6.9,3.4,2.2,1.6,0,2,1,14.4,SMK,1.9,1,0,3.78,sangat baik
19,male,5.8,8.0,1.6,2.6,1,1,0,21.4,SMA,0.3,1,0,4.0,sangat baik
19,female,6.6,7.6,3.0,2.5,0,0,1,20.1,SMA,1.8,1,0,4.0,sangat baik
19,male,5.3,6.4,2.3,1.5,1,0,1,15.2,SMA,0.1,0,1,3.73,sangat baik
18,female,6.5,4.4,4.9,2.4,1,0,1,14.0,SMA,1.3,1,1,3.25,baik
19,male,5.0,7.0,2.1,2.3,2,1,0,5.4,SMK,0.2,1,0,4.0,sangat baik
19,female,6.1,6.3,2.1,3.9,2,2,0,15.7,SMA,0.8,1,0,3.95,sangat baik
18,male,4.4,4.7,1.4,1.3,1,1,1,17.9,SMK,0.9,0,0,3.56,sangat baik
19,female,5.9,3.2,4.8,3.7,2,1,1,23.4,SMK,1.0,1,0,2.86,sedang
20,female,6.8,7.3,3.5,3.4,1,2,0,12.0,SMA,1.1,1,0,4.0,sangat baik
18,female,6.0,4.9,3.7,2.0,2,0,2,3.8,SMA,1.4,1,1,3.61,sangat baik
18,female,6.4,4.4,1.7,3.3,2,0,2,10.9,SMA,0.7,1,0,3.79,sangat baik
18,female,4.7,4.9,3.1,2.5,0,1,0,22.5,SMA,0.8,0,1,3.0,sedang
18,male,5.0,7.8,4.8,2.7,0,0,0,8.0,SMK,0.7,1,0,4.0,sangat baik
