umur,gender,rata2_tidur_hari,rata2_belajar_hari,rata2_bermain_game_hari,rata2_buka_sosmed_hari,jumlah_kopi_hari,jumlah_matcha_hari,jumlah_ukm,jarak_kampus_km,asal_sekolah,rata2_olahraga_hari,memiliki_laptop,bekerja,ipk
20,female,6.4,3.9,4.1,2.8,1.0,2,2,2.4,SMA,1.7,1,0,3.37
18,m,5.9,6.1,1.0,1.1,2.0,2,2,4.3,sma,0.6,1,0,4.0
20,f,5.9,4.9,4.9,2.4,0.0,2,2,5.1,SMK,0.1,1,1,3.09
18,f,4.7,4.2,3.7,2.8,2.0,2,1,10.4,SMA,0.4,1,0,3.25
19,female,5.6,3.9,4.9,3.3,1.0,1,1,23.2,SMA,1.5,1,0,3.06
18,male,5.2,4.4,4.3,2.1,0.0,0,0,20.3,smk,0.1,1,0,3.11
20,m,6.4,6.5,3.9,3.3,0.0,1,2,16.6,SMA,1.8,1,0,3.86
19,m,,6.6,3.6,3.7,0.0,2,0,24.3,SMK,1.7,1,0,3.6
19,f,5.5,5.6,2.7,1.1,0.0,2,2,22.5,SMA,1.0,1,0,4.0
20,male,6.3,4.1,1.3,1.9,1.0,1,1,20.4,SMK,1.3,1,1,3.71
19,female,,4.6,1.5,2.1,1.0,0,0,6.5,smk,0.9,1,1,3.82
18,f,,6.5,2.1,1.7,2.0,1,0,10.7,smk,0.1,1,0,4.0
20,male,5.5,4.5,2.1,1.1,0.0,1,1,10.9,sma,0.1,1,0,3.73
19,m,7.0,4.2,3.7,3.3,2.0,0,2,20.3,SMK,0.9,1,0,3.62
20,female,4.3,7.2,2.3,1.6,0.0,2,2,6.3,smk,1.4,1,0,4.0
18,M,6.0,6.7,1.8,2.6,1.0,2,2,16.8,sma,1.6,1,0,4.0
19,f,7.0,7.8,3.2,3.6,2.0,0,0,9.4,SMK,1.5,1,1,4.0
20,M,6.8,6.9,3.7,2.7,1.0,0,2,24.4,SMA,0.6,1,0,4.0
20,m,6.0,4.1,3.8,1.7,0.0,2,2,16.8,smk,1.1,0,0,3.25
19,m,6.9,5.4,4.6,2.3,0.0,1,0,14.8,,1.0,1,0,3.64
20,M,5.7,6.8,1.2,4.0,1.0,0,1,23.0,sma,0.7,0,1,3.72
20,m,6.9,3.4,2.2,1.6,0.0,2,1,14.4,smk,1.9,1,0,3.78
19,male,5.8,8.0,1.6,2.6,1.0,1,0,21.4,SMA,0.3,1,0,4.0
19,F,6.6,7.6,3.0,2.5,0.0,0,1,20.1,SMA,1.8,1,0,4.0
19,male,5.3,6.4,2.3,1.5,1.0,0,1,15.2,sma,0.1,0,1,3.73
18,female,6.5,4.4,4.9,2.4,1.0,0,1,14.0,sma,1.3,1,1,3.25
19,male,5.0,7.0,2.1,2.3,2.0,1,0,5.4,SMK,0.2,1,0,4.0
19,female,6.1,6.3,2.1,3.9,2.0,2,0,15.7,SMA,0.8,1,0,3.95
18,m,4.4,4.7,1.4,1.3,1.0,1,1,17.9,SMK,0.9,0,0,3.56
19,,5.9,3.2,4.8,3.7,2.0,1,1,23.4,,1.0,1,0,2.86
20,f,6.8,7.3,3.5,3.4,1.0,2,0,12.0,SMA,1.1,1,0,4.0
18,F,6.0,4.9,3.7,2.0,2.0,0,2,3.8,sma,1.4,1,1,3.61
18,F,6.4,4.4,1.7,3.3,2.0,0,2,10.9,sma,0.7,1,0,3.79
18,f,4.7,4.9,3.1,2.5,0.0,1,0,22.5,sma,0.8,0,1,3.0
18,M,5.0,7.8,4.8,2.7,,0,0,8.0,,0.7,1,0,4.0
18,female,,7.9,5.0,1.2,2.0,2,0,9.4,sma,0.2,1,0,4.0
18,female,4.3,3.4,3.8,1.2,1.0,2,1,4.5,SMA,1.0,1,0,3.26
18,male,6.3,4.9,1.3,3.3,1.0,2,2,7.0,SMK,0.7,1,0,3.73
19,male,5.4,3.3,1.5,1.4,0.0,2,0,17.3,SMK,0.5,1,0,3.5
18,f,6.9,3.1,4.9,1.1,0.0,1,0,24.8,smk,0.1,1,1,3.02
19,F,4.5,4.1,2.2,4.0,1.0,1,2,22.6,sma,0.1,1,1,2.78
18,female,4.8,3.9,2.9,2.1,1.0,0,0,7.2,SMK,0.9,0,0,3.23
18,female,6.4,6.4,1.7,3.7,0.0,1,1,11.0,sma,1.2,1,0,3.99
18,m,4.1,4.9,4.2,4.0,0.0,2,0,19.0,SMK,0.8,1,0,2.9
18,m,5.4,5.1,2.1,1.2,1.0,0,0,25.0,sma,2.0,1,0,4.0
19,F,4.8,4.4,1.8,3.6,1.0,2,2,17.1,sma,1.0,1,0,3.17
18,m,5.7,5.8,4.5,2.2,2.0,2,2,19.1,SMK,1.2,1,0,3.95
19,male,5.7,3.5,3.9,2.6,0.0,2,1,15.9,sma,1.7,1,0,3.0
18,f,5.5,4.3,2.8,3.9,0.0,1,0,6.0,smk,1.2,1,0,3.28
20,F,4.4,6.2,1.7,2.0,2.0,2,2,17.0,smk,0.3,1,0,3.97
18,f,5.0,4.7,1.1,2.6,0.0,0,1,22.5,sma,0.3,1,0,3.49
19,f,4.2,7.4,4.7,1.2,1.0,0,0,15.3,SMK,2.0,1,1,3.96
19,female,5.9,4.8,2.9,3.2,,2,2,18.1,sma,1.8,1,0,3.62
20,female,5.2,3.5,3.9,1.5,2.0,0,0,6.1,smk,0.7,1,1,3.1
18,male,6.0,6.9,3.0,1.3,2.0,1,1,14.4,smk,1.2,1,0,4.0
19,M,4.7,5.5,2.3,3.8,0.0,1,0,4.7,SMK,0.5,1,0,3.27
19,f,6.4,3.3,4.4,1.2,2.0,0,2,22.5,smk,1.2,1,0,3.52
19,m,6.0,7.6,3.2,2.7,2.0,0,0,5.5,SMA,0.6,1,0,4.0
18,,5.6,6.5,4.1,1.3,1.0,2,2,12.5,SMK,1.1,0,0,3.96
18,female,4.0,3.6,2.9,2.8,2.0,1,2,23.3,SMK,1.7,1,0,3.21
20,female,6.8,3.9,1.3,3.2,1.0,0,2,20.1,smk,0.4,1,0,3.58
19,male,6.7,4.6,3.4,3.0,2.0,1,2,16.0,SMA,1.1,1,0,3.74
18,F,6.7,4.9,3.2,3.7,2.0,2,2,11.4,smk,0.7,1,0,3.73
20,male,6.4,3.8,2.2,1.7,2.0,0,1,5.9,smk,1.4,1,0,3.82
19,male,6.5,3.6,4.4,1.4,2.0,0,0,12.7,sma,0.8,1,0,3.62
19,male,4.8,4.7,1.7,3.7,1.0,1,2,12.1,SMA,1.9,1,0,3.61
19,female,4.3,4.3,3.9,2.8,0.0,0,2,4.7,SMA,1.2,1,0,2.99
19,female,6.7,3.6,1.9,1.5,1.0,2,0,9.0,,0.6,1,0,3.82
20,female,4.2,4.7,4.2,1.0,0.0,2,2,10.9,sma,1.7,1,0,3.58
20,m,4.1,7.6,2.0,2.7,1.0,0,0,9.7,sma,1.2,1,0,4.0
18,F,5.5,7.9,2.8,2.7,1.0,2,0,5.4,SMK,0.6,1,0,4.0
19,F,4.6,4.0,1.1,2.4,2.0,1,0,19.6,SMA,0.9,1,0,3.53
19,female,5.5,6.8,1.4,2.0,2.0,2,2,10.0,sma,0.5,1,0,4.0
18,male,5.7,4.3,1.8,2.5,1.0,0,2,14.7,SMK,1.8,1,0,3.79
20,male,4.7,6.6,4.4,3.5,0.0,1,0,10.8,SMA,0.6,0,0,3.26
18,female,6.6,6.2,3.8,3.7,0.0,2,1,20.8,,0.7,0,1,3.39
18,female,5.2,5.8,2.7,1.9,1.0,1,0,21.8,SMK,1.0,1,0,3.9
19,f,6.2,6.5,2.6,1.7,1.0,2,1,24.6,sma,1.1,1,0,4.0
20,f,6.5,5.6,4.3,2.5,1.0,0,0,16.6,SMA,1.7,1,0,3.85
18,male,6.0,3.9,4.7,2.3,1.0,1,1,2.1,sma,0.3,1,0,3.26
